"ST004D01T","ST022Q01TA","REPEAT","SCI.PHY","SCI.CHE","SCI.BIO","SCI.EAR","SCI.APP","SCI.GEN","OUT.MEAL","OUT.STUDY","OUT.VEDIO","OUT.READ","OUT.NET","Out.GAME","OUT.FRD","OUT.PAR","OUT.HOUSE","OUT.JOB","OUT.SPORT","ST111Q01TA","ST062Q01TA","ST062Q02TA","ST062Q03TA","ST031Q01NA","ST032Q01NA","ST064Q01NA","ST064Q02NA","ST064Q03NA","GRADE","MISCED","FISCED","DURECEC","DISCLISCI","TEACHSUP","IBTEACH","TDTEACH","ENVAWARE","ENVOPT","JOYSCIE","INTBRSCI","INSTSCIE","SCIEEFF","EPIST","SCIEACT","BSMJ","BMMJ1","BFMJ2","OUTHOURS","TMINS","BELONG","ANXTEST","MOTIVAT","COOPERATE","CPSVALUE","EMOSUPS","PERFEED","ADINST","unfairteacher","CULTPOSS","HEDRES","WEALTH"
1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,0,1,0,0,7,1,1,1,1,4,4,3,1.8837,-0.3641,0.019,-0.2836,-0.0213,0.9554,0.0992,-0.2052,0.3708,0.099,0.5978,-1.7568,59,51,76,NA,1800,0.3171,0.5209,0.1218,-0.2882,0.0333,-0.889,-0.9392,-1e-04,11,0.2737,1.1563,0.6912
1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,2,2,0,7,0,0,0,1,4,4,1,0.0039,-1.0718,-0.121,-0.6102,-0.2844,2.0161,0.5094,0.1562,-0.3035,0.7962,2.1552,1.2007,53,81,82,3.36729582998647,2640,-0.1291,1.0016,1.8543,1.5899,2.1017,0.5658,0.0134,-0.3816,10,1.0478,1.1563,-0.6009
1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,3,0,NA,NA,NA,1,4,3,NA,NA,NA,NA,NA,-0.5444,-0.2961,0.5094,0.8849,0.3708,-1.2116,-0.1933,-1.7518,64,NA,31,NA,NA,-0.7244,-0.2729,1.3961,1.5604,2.1017,0.3838,NA,NA,12,-1.6287,-0.5199,-1.0479
1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,2,0,0,0,0,7,1,1,1,2,3,3,0,0.0039,1.4475,0.2607,2.0781,1.1528,-1.0294,2.1635,1.0787,1.7359,1.522,1.5636,1.4998,71,71,71,1.6094379124341,1800,2.5915,0.3964,1.8543,-0.2882,0.0333,1.0991,2.4994,1.3754,10,-0.2107,1.1563,0.9991
0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,2,0,0,0,0,1,1,0,1,2,2,3,NA,1.8837,-0.2657,-0.4549,0.0532,-0.7722,-0.3725,0.5094,0.1042,-0.3275,-0.3909,-0.0978,0.4712,38,39,27,3.04452243772342,1900,-1.4215,1.0461,0.0437,-0.2882,-1.4959,-0.2495,-0.6241,-0.787,6,-0.356,-0.1108,0.0244
1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,3,6,NA,NA,NA,1,1,3,0,NA,NA,NA,NA,0.2054,-1.7932,1.6403,0.9626,0.7429,0.5434,1.1836,0.6438,85,NA,37,NA,1425,0.3549,0.0337,1.8543,0.5759,0.9459,1.0991,NA,NA,6,-1.2278,-1.746,-0.1652
0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,2,0,0,0,3,6,2,2,1,1,4,2,NA,0.6558,0.9133,-0.2285,-0.1305,1.0332,1.0751,0.4829,-0.3493,-0.7975,-0.715,2.1552,-0.5362,NA,69,37,2.63905732961526,1650,1.1245,0.3547,1.8543,0.9675,1.4758,0.0949,-0.4783,-0.0337,7,-1.6287,0.0321,0.9632
0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,2,2,2,1,3,5,2,1,1,1,3,3,2,-1.1531,-0.5956,0.1417,-0.6102,-0.1841,-0.2063,0.5094,0.38,1.3336,-0.2246,1.527,0.4015,89,25,24,3.40119738166216,2000,-1.3121,0.4065,1.8543,-0.2882,-1.039,0.3838,0.0134,-0.3816,12,-0.2614,-0.8323,-0.0572
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,2,1,0,0,0,3,NA,NA,NA,2,4,4,2,NA,NA,NA,NA,0.8981,0.3955,0.8931,-0.0369,-0.7778,-0.1872,0.2674,0.5137,68,53,77,NA,NA,-0.3381,-0.235,1.3961,1.5899,-0.6887,0.5658,NA,NA,6,-0.5975,-0.1639,0.5834
1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,3,3,0,0,NA,1,1,0,1,0.7001,1.4475,1.9198,0.216,0.0352,-1.7932,-0.1379,0.5305,0.3708,-1.6189,-0.1933,-1.7518,38,69,69,NA,1450,0.6642,-0.4331,-0.4775,-1.2786,0.0333,1.0991,1.0606,1.0006,12,0.0768,-0.8323,-1.2735
